instance_id,repo,target_file,target_symbol,bundle_type,symbol_count,file_count,token_count,content_signature,exact_signature_hit_rate,overlap_with_file_prefix,expansion_ratio,includes_imports,includes_tests,precision_priority,precision_hypothesis,reason,files,symbols
astropy__astropy-12907,astropy/astropy,astropy/modeling/separable.py,_cstack,ast_function_only,1,1,217,b3a06cbba2400860,1.0,0.1757085020242915,1.0,False,False,medium,baseline exact target span; useful when the patch-local symbol is self-contained,target function/method/class only,astropy/modeling/separable.py,_cstack
astropy__astropy-12907,astropy/astropy,astropy/modeling/separable.py,_cstack,call_neighborhood_1hop,3,1,700,2b965c773667a6a5,1.0,0.5668016194331984,3.225806451612903,False,False,high,expected to improve lossy precision when target behavior depends on local helpers or dispatch utilities,target plus statically resolved direct callees,astropy/modeling/separable.py,_cstack;_compute_n_outputs;_coord_matrix
astropy__astropy-12907,astropy/astropy,astropy/modeling/separable.py,_cstack,reverse_callers_1hop,2,2,339,51235c6f98697664,1.0,0.2744939271255061,1.5622119815668203,False,True,diagnostic,diagnostic high-context variant; may increase semantic alignment but also raises drift risk from caller/test-specific context,target plus same-repo callers that reference it,astropy/modeling/separable.py;astropy/modeling/tests/test_separable.py,_cstack;test_cstack
astropy__astropy-12907,astropy/astropy,astropy/modeling/separable.py,_cstack,import_dependency_bundle,1,1,235,a273f59ff05cb753,1.0,0.1902834008097166,1.0829493087557605,True,False,high,expected to preserve stable API/import context with limited semantic contamination,target plus local import context and resolved import-file front matter,astropy/modeling/separable.py,_cstack
astropy__astropy-12907,astropy/astropy,astropy/modeling/separable.py,_cstack,test_target_bundle,4,2,788,51bd50d949619544,1.0,0.6380566801619433,3.6313364055299537,False,True,medium,task-aligned variant for SWE-style repair; useful for output-drift and pass@1 non-degradation checks,target plus changed/FAIL_TO_PASS test functions,astropy/modeling/separable.py;astropy/modeling/tests/test_separable.py,_cstack;test_coord_matrix;test_cdot;test_cstack
astropy__astropy-13033,astropy/astropy,astropy/timeseries/core.py,BaseTimeSeries._delay_required_column_checks,ast_function_only,1,1,22,9c57a5876b6d9772,1.0,0.039783001808318265,1.0,False,False,medium,baseline exact target span; useful when the patch-local symbol is self-contained,target function/method/class only,astropy/timeseries/core.py,BaseTimeSeries._delay_required_column_checks
astropy__astropy-13033,astropy/astropy,astropy/timeseries/core.py,BaseTimeSeries._delay_required_column_checks,call_neighborhood_1hop,2,1,246,197a146f2c0eed6c,1.0,0.4448462929475588,11.181818181818182,False,False,high,expected to improve lossy precision when target behavior depends on local helpers or dispatch utilities,target plus statically resolved direct callees,astropy/timeseries/core.py,BaseTimeSeries._delay_required_column_checks;BaseTimeSeries._check_required_columns
astropy__astropy-13033,astropy/astropy,astropy/timeseries/core.py,BaseTimeSeries._delay_required_column_checks,reverse_callers_1hop,1,1,22,9c57a5876b6d9772,1.0,0.039783001808318265,1.0,False,False,diagnostic,diagnostic high-context variant; may increase semantic alignment but also raises drift risk from caller/test-specific context,target plus same-repo callers that reference it,astropy/timeseries/core.py,BaseTimeSeries._delay_required_column_checks
astropy__astropy-13033,astropy/astropy,astropy/timeseries/core.py,BaseTimeSeries._delay_required_column_checks,import_dependency_bundle,1,1,40,dbcdb6c6743eb0d4,1.0,0.07233273056057866,1.8181818181818181,True,False,high,expected to preserve stable API/import context with limited semantic contamination,target plus local import context and resolved import-file front matter,astropy/timeseries/core.py,BaseTimeSeries._delay_required_column_checks
astropy__astropy-13033,astropy/astropy,astropy/timeseries/core.py,BaseTimeSeries._delay_required_column_checks,test_target_bundle,4,2,186,97cac442dd8981f0,1.0,0.33634719710669075,8.454545454545455,False,True,medium,task-aligned variant for SWE-style repair; useful for output-drift and pass@1 non-degradation checks,target plus changed/FAIL_TO_PASS test functions,astropy/timeseries/core.py;astropy/timeseries/tests/test_sampled.py,BaseTimeSeries._delay_required_column_checks;test_empty_initialization;test_empty_initialization_invalid;test_initialize_only_time
